Neighborhood,AverageRent
Bay Ridge,2375.2135151061016
Jamaica,2412.1653875322336
Williamsbridge / Baychester,2431.938584434419
Flatlands / Canarsie,2595.068790937586
East Harlem,2887.972211194513
Bushwick,3183.5770905058225
Astoria,3205.0590195411255
Upper East Side,3846.626926982023
Williamsburg / Greenpoint,4158.591675461743
