RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,2160.1710580379595,2186.7541331122197,2215.3576818379074,2236.524983542881,2228.8950603328676,2236.998867122017,2214.7651263296925,2221.599818831189,2208.3187134811824,2211.6390218074403,2213.490456682255,2205.8304130779966,2229.5900573461704,2219.2290343729287,2240.2122774807513,2243.2332614755496,2282.732314725627,2253.916187,2251.4747710812867,2222.6546394405273,2220.1915239366526,2202.871219339607,2209.2496667520318,2224.5431610696355,2240.499285329819,2250.8236130129217,2259.735462146227,2266.501299837432,2271.029489093298,2288.044162707662,2282.813071065353,2287.087250319211,2265.9582188191957,2285.714819857777,2269.613144559206,2289.0121920711017,2272.087625648557,2327.211693031841,2355.2866389111737,2377.542592040189,2367.4670602658352,2354.314809453637,2378.2244849468702,2381.621695425302,2393.748300323301,2392.736816988553,2378.3643480252845,2352.9836532360127,2359.746803430856,2354.3350398636408,2360.216500451566,2312.3603977227613,2286.9748028290314,2255.820372079583,2222.8348390123633,2193.0747567148337,2176.9254823257284,2165.9979493517117,2165.893060696218,2167.4653516901117,2207.6842049443844,2253.570229687174,2301.658582903619,2327.8153571045277,2357.592905013433,2393.8093343789596,2426.0132127668885,2448.637940831034,2462.0022159842715,2470.1471372157116,2480.2761004453428,2518.7591407073855,2583.381125756658,2688.188331,2747.233023655011,2800.8678208043334,2801.5781153125463,2812.109579678196,2787.0440991692194,2757.956194074617,2718.802321914379,2713.3203987660972,2725.412020809709,2762.294893938262,2802.1676966681475,2837.852615668135,2848.616355868422,2855.889716592016,2871.635955,2878.0395006675108,2865.1446345248532,2828.1238123475487,2820.8407500605504,2814.278566365683,2867.4871812984857,2883.602711773274,2950.217142356808,2977.2023458929766,3037.8328921656916,3033.1362997280958,2998.543629459799,2952.197188709166,2904.154848111911,2881.9196080410948,2926.9631159816204,2963.089275362319
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.101706411628,2083.4485885033773,2147.1063472706855,2164.6372066668137,2143.8178761810386,2146.5149955383804,2128.893342312681,2184.755241590112,2215.6491401177213,2244.262114273801,2263.5490187473633,2257.1660261064794,2266.315215794093,2289.012775031205,2306.835426667187,2362.6043122365445,2341.332065243254,2336.4006885152316,2332.022125361469,2367.453792176685,2434.6105186889677,2457.2933742710075,2486.718964555834,2494.215525462598,2492.8347812183174,2444.4582766457725,2372.135468150894,2400.797631708001,2366.3407723249084,2433.617958364932,2461.1439264463224,2697.0411681213964,2824.9170148472826,2745.4652797295225,2695.979152,2646.1666666666665
62046,16,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909.7906709216202,1940.715997,1933.9251851920621,1953.2382303612178,1944.9581368052309,2051.3236619952595,2046.0252379709764,2124.5324342802287,1999.320456,1983.4581553518258,1966.8467199694892,2019.2577753955063,2070.74375,2125.376164260128,2164.1415880887685,2146.9644643597408,2208.8119218566726,2203.567302295899,2313.0775852186594,2307.583521668343,2394.181536277144,2433.9526001016366,2495.189775860474,2447.4729294805243,2463.5257039604685,2385.415768,2402.3592886561614,2497.569149040533,2586.270574092388,2581.882471978142,2499.8022525401843,2525.5125678542136,2606.739722,2625
61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,,,,,,,,,,,,,,,,,1308.1888908018732,1287.194401330308,1310.5709641459223,1273.3965714063436,1290.5860647270742,1275.904690829803,1268.0366298014214,1255.3268745670957,1314.7037723677443,1339.1060805661925,1398.0941998536052,1384.1382618306393,,1376.940531673102,1383.9433111501965,1350.2855189876705,1346.5241628222916,1359.451531014499,1396.2064176255121,1402.229552229729,1370.1251365414519,1403.7769422591743,1432.9738501382942,1501.7211310763687,1507.7846914885945,1501.2371420901727,1505.8688961319335,1499.586944533367,1527.8936854082108,1522.3985282854885,1511.310257016701,1545.6160484782822,1537.3603001280064,1548.0051820912665,1519.1107825327024,1517.2460004416284,1527.5346885624901,1517.255707676367,1556.742469305063,1563.9997511182978,1627.792807541186,1632.877874165898,1619.3107535700879,1597.2968543435286,1589.6678099095343,1610.8246860960282,1612.9587024631285,1592.2331906398892,1561.132493834644,1549.003055390392,1606.7722502355143,1647.7901653069248,1688.890139396823,1668.065850982321,1712.3891039580471,1661.870679928593,1683.2738961273749,1644.3945224252725,1684.3731297958227,1639.7518388521999,1662.7818245546994,1665.199059591918,1693.465134,1690.400140576731,1719.973940920695,1751.8547688650765,1746.8721741049396,1684.9488198958559,1668.893111260915,1725.012927562011,1786.346277662832,1835.3425250367545,1828.363103091767,1829.2501160687896,1857.737973602901,1860.4474679951616,1854.2315258574356,1820.7599859957472,1829.4547571135204,1837.9597107418542,1868.1373816241064,1879.6018353703334,1897.9925218306498,1859.4018234802766,1918.6022720172352,1984.1505631347802,2006.8317588879497,2017.9826634923068,2087.297149167383,2136.610512036765,2183.4040676261684,2122.7746841739263,2171.859362037714,2150.2921634574977,2158.220890197303,2185.9236833647337,2168.1480188902888,2203.8379733649413,2186.0216130264675,2159.0655372633623,2059.230270078287,2100.5903230544473,2173.4600418710256,2290.6628329841706,2333.2400977576012,2310.3698412698413
62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944.5285316902264,1947.6569079821274,1989.3516626716728,2015.850897860259,2035.1203164484773,2047.090245945955,1999.2183785176628,2021.9492422224362,2009.592916621062,2008.2116735985721,2052.4631881998976,2091.881381,2148.0828174541753,2153.0016795425245,2203.7696411405664,2254.7089074418714,2250.545677091963,2238.649152,2238.5943567638024,2253.3905224053865,2277.6564307466642,2306.312204223445,2316.817071657645,2301.2445814654816,2297.5315521487464,2313.651368213044,2346.4890393141495,2370.3815827756966,2391.4391798624756,2375.6510924959375,2392.605812281039,2384.111703518982,2368.474500896039,2365.361619971869,2353.2299885136435,2366.461154461719,2392.5224596459025,2468.888845783742,2539.6131782772386,2588.560668726595,2577.1777376310442,2603.3669137628153,2525.461705770304,2504.7182708037653,2404.218873476322,2399.753410698986,2388.6666666666665
62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1887.8282796254343,1914.3578833487857,2006.7749769388092,2009.6043620083437,2022.5801708046097,1999.7736159105702,2022.961565256437,2037.5226411716637,2058.053176801265,2057.3039583188106,2058.4536699040027,2051.524858532892,2054.526269576134,2046.0761222834453,2095.5518681288677,2114.5422939954806,2136.564624146661,2160.362073609834,2197.586229690095,2201.8783069732976,2165.464168273934,2136.9962381784844,2167.94302,2183.1270415061012,2195.2572566411427,2187.313247146994,2192.1804226860104,2185.5499277842823,2189.075573225422,2209.994459,2231.753557403682,2230.6418373687275,2220.022623640562,2200.400901334852,2184.8003960027772,2170.5649079851255,2175.7196937741264,2204.206361717771,2228.0898906576294,2258.127616794025,2260.064427729128,2269.745509865085,2284.9233303394853,2314.088681349378,2331.6589935953493,2313.627110501872,2295.2886956445714,2271.1112155118335,2287.0686930133384,2277.1240503826043,2304.0684022663368,2287.715952337396,2314.424751976608,2316.1783036192905,2344.329549287198,2367.663464406599,2382.2730417601056,2378.2589352429436,2344.8987117306315,2314.452790446261,2320.7477085429337,2317.485910570917,2351.766354422506,2347.611923375682,2358.2504568298664,2340.0182993361977,2343.175440911151,2319.355990957919,2287.1077460267766,2253.4667450806737,2236.0759520858496,2193.9112233686437,2150.440676737827,2151.890077266226,2175.439047421047,2218.392496815352,2242.037292,2274.3194953476086,2313.383952561353,2332.5836439885747,2364.472017276303,2366.0173928842437,2382.4591801015727,2383.6805369129856,2410.478131574083,2443.4913647497738,2485.197653,2515.891382893475,2559.8421008719556,2613.778227949645,2649.261572,2650.3504045714258,2645.416234766842,2652.2443595158798,2649.081889531546,2620.9100717634046,2619.2794967700206,2615.6136289037136,2651.176438,2654.2993623862517,2682.240893479562,2701.846814239885,2723.9979622348214,2736.632085461631,2718.062028676075,2692.603726185753,2667.108605977636,2677.6702856717825,2707.1018869184963,2714.8080323008776,2707.126158372425,2696.264155596263,2720.5895926158305,2737.186892,2786.3200224345933,2793.378794,2787.439124660499,2726.2977585539475,2699.3140141828485,2684.914166199915,2722.6735997776927,2726.309684305134
62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1855.4255043610074,1757.2316454142044,1753.288099292608,1776.8302356253312,1866.975784005969,1917.558194808723,1926.715341682147,1911.7331444182776,1942.9606374712616,1949.1418457276418,2002.3313085386437,1956.3157050370573,1962.1473256714469,1967.3438791566011,2049.0789930940005,2079.2247,2047.9093589714817,2023.851295532126,2011.3802445025806,2031.8033877366079,2016.635091974696,2020.2403396723253,2032.957056636103,2038.1835834576736,2037.726240626667,2012.2449807479486,2008.8698323046756,2017.005823233072,2004.9774932503294,2000.0685831587182,2000.7403051160204,2039.7158811911725,2073.9142396618495,2092.9607808122855,2079.794281930685,2081.3202485753695,2061.019613137378,2052.8474850112057,2051.987761266534,2111.5731063094872,2134.5252742064963,2145.8721266858083,2116.4291582546584,2143.6467270969024,2142.3669522053015,2123.351320818932,2123.3704907365654,2123.5677058024107,2152.7495327605907,2148.906940566369,2182.6690206973026,2159.809318588026,2185.884955794707,2185.3752763384236,2222.4418070976394,2224.108410914536,2231.9360514684945,2241.5100667999477,2269.684850467795,2290.9130472629454,2300.122596258532,2286.7967226885535,2266.444843859081,2276.9909901547812,2282.2536002723746,2268.798835491425,2237.7711774262343,2203.1963822114963,2154.2068038627704,2110.046144826164,2056.784536456842,2052.769384,2041.8903890119243,2019.9452590222295,2006.1351042172553,2002.1863373591955,2083.8515783237467,2147.6379170576015,2210.5989835877685,2226.235170245711,2249.027783264384,2286.7460803558984,2290.6204296963056,2325.7091763167346,2334.838028875423,2354.142463611619,2333.8395570703265,2366.6245757364813,2455.5120260936974,2567.0239299749164,2640.5544770022066,2678.9170859224027,2733.5230205301004,2747.3756809970273,2736.0627116995965,2702.905417725941,2653.360376782119,2639.6294842123584,2595.810435,2620.065195400231,2643.633872778683,2713.143212,2766.8177501205682,2807.536795,2882.932276234629,2863.5416346308143,2817.6043113627625,2735.345086,2737.794892361259,2747.898986272541,2742.2496518847715,2787.379955412173,2856.038595622698,2894.573721902451,2898.4279954346284,2891.9637632762206,2899.979160140811,2903.4752571350978,2878.8410663561012,2808.1319260200266,2823.7347025476456,2866.133333333333
61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2897.7293563244525,2896.395524311876,2898.726584050504,2922.181104496984,2940.023967199642,2966.751280808624,2975.6992141719466,2975.4551121043555,2971.369705,2973.020175499063,2974.7150601628687,2971.1764847081918,2960.6154013066084,2959.8204347616024,2973.850314182936,2982.824562,2996.9894067160976,3006.7594672331625,3040.4296225329667,3054.584547041321,3057.373396900529,3016.892573,2973.797912790362,2929.967290169809,2933.7554539256867,2943.0183861360497,2946.638757115626,2957.6863177101823,2993.3387328860535,3036.664924714032,3057.7874043163592,3046.9379640580732,3042.5054964764086,3001.6724185161947,2978.4040084560665,2942.9207302170853,2924.3057875194527,2929.8390993152398,2943.064819584946,2986.703524166462,3014.406288532484,3042.8380454055036,3066.1049396330754,3070.7740544571107,3069.611003,3059.019197435229,3055.0390620512253,3077.3013500667353,3054.9755349378624,3042.777306809635,3015.471159300655,3059.2542077546377,3097.7725553596497,3139.1788091073026,3161.2096757008435,3182.1457556839323,3184.787735,3171.1284356414913,3144.496488226849,3135.779327884393,3120.7117376891083,3139.090406822529,3150.4641858868604,3131.0443652115378,3085.420679829283,3012.9094879383206,2975.2835564096263,2890.3849636565988,2796.3731127137594,2721.469830246277,2678.416346666029,2652.559838253151,2652.020609139375,2663.5007082399584,2715.9726661491304,2752.2883185835913,2840.585671020017,2928.859377510452,3024.024651214078,3100.8168586865513,3151.5771162242636,3178.3700582360866,3207.1834316059976,3246.913680851285,3289.9750765514614,3340.0782250736756,3361.072819652477,3409.6774837451003,3453.3193310620827,3541.1315425088837,3610.823265565192,3660.0048627414617,3680.089559813724,3637.6262411534817,3579.461665708656,3524.513445643702,3530.860490920414,3528.865429,3539.2012439309883,3577.6302323524355,3648.6253404558292,3728.7951733946275,3776.5243681495263,3796.989155336519,3790.4335412520168,3719.9482840662604,3629.577980705958,3541.8344737465313,3532.8628055433637,3570.475384435767,3619.978132721199,3691.460567377426,3777.1551531969094,3864.5559021473837,3905.4308501646897,3918.763223842067,3906.770623830883,3878.3586176363056,3805.6574956285435,3791.741657313347,3800.279358161505,3862.688499271011
62025,32,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.9258822001818,1845.7673647682213,1807.3284821520417,1742.6576677068463,1781.7715331067338,1821.9794998188786,1873.717711048834,1887.2213104380849,1884.1897707676071,1876.0359668279787,1897.3555387773263,1881.6521160062207,1849.6055175254025,1833.2028497802362,1836.9599855298743,1872.3390582140505,1877.2698682545852,1901.4537169367527,1901.2947164207017,1902.025790934891,1897.737020528403,1964.2604864815312,1977.1213343953025,2021.9123768160853,2006.0808945791507,2066.814757583359,2059.700661182464,2048.7697937308994,2038.3169326732009,2079.9090489603827,2099.0035482181956,2100.4781795052036,2090.7410422676626,2101.5427255616264,2102.675205753893,2150.7348592433887,2159.83646,2197.152484524111,2224.2990928102586,2243.002193040372,2267.549683609684,2249.755186614777,2273.187901667837,2255.9348423621946,2277.4224633016643,2265.8135798721573,2291.488641175789,2316.5520241586905,2362.5952798425988,2425.8741546212273,2448.332666170326,2372.0041475862668,2331.528940970412,2356.9035527251212,2471.684917163855,2521.4550563839234,2493.227394703843,2438.0538935954005,2395.9184264037353,2387.5
62044,36,11234,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674.3532845168033,2571.9170647749356,2644.444444444445
