id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1072786011124947536,NJ House -25 mins away from NYC,42334169,Jamar,,North,40.75922,-74.17841,Entire home/apt,307,3,9,2024-11-18,1.18,1,268,9,
1073476001912061729,Executive Rm 8Mins to EWR Airport,233993078,Lesley,,South,40.71985,-74.2109,Private room,89,2,9,2024-09-08,0.80,11,0,9,
1074027390502217485,Clinton Ave New Apt 1,556279583,Benard,,South,40.72234,-74.18774,Entire home/apt,180,1,2,2024-04-28,0.19,1,269,2,
1075464047057131168,2 Bed Deal For Couples / Family By EWR Airport,547769072,Resident Center,,South,40.71228,-74.20821,Private room,71,1,3,2024-12-08,0.54,11,89,3,
1075494823895003912,Master Bedroom @ Lux Abinger Pl,467277515,Adegbola,,West,40.7432,-74.23138,Private room,120,1,2,2024-11-28,0.21,2,88,2,
1075532890488669699,Lovely Rm “8Mins 2 EWR Airport,233993078,Lesley,,South,40.7194147,-74.2098388,Private room,99,2,3,2024-10-15,0.27,11,268,3,
1075598146442864326,PeacefullOasis Near NewarkAirport,444083215,Adriana,,South,40.70861,-74.21603,Entire home/apt,139,1,0,,,1,364,0,
1075689379879008291,Brick City Dreaming,130067358,Anna,,Central,40.7310344,-74.1744332,Entire home/apt,99,1,102,2024-12-23,9.24,1,296,102,
1075979675316008007,Beautiful quiet escape.,506194012,Avril,,South,40.71026,-74.20293,Private room,100,29,1,2024-05-26,0.14,3,364,1,
1076314874312336770,"Calm Cove - BlissFull stay

10 Min from EWR",455416742,John,,Central,40.7341385,-74.17605530000002,Entire home/apt,154,1,30,2024-12-15,2.71,1,260,30,
1076722028494255175,Private Room in Newark,556723332,Maria,,South,40.7237,-74.20741,Private room,42,2,9,2024-05-17,0.82,8,58,9,
1077584128400978438,Spacious 3BR/2BA close to NYC,557336657,FloraStays,,East,40.72528,-74.16321,Entire home/apt,286,3,11,2024-12-16,1.47,6,87,11,
1077672286935589707,2Br Smart Apart near Airport,439583593,Maite,,East,40.7278948,-74.15507649999999,Entire home/apt,141,1,50,2024-12-24,4.62,11,168,50,
1077786516167506914,Downtown located large studio 20 mins to NYC.,338687664,Shaun,,East,40.73513459999999,-74.17120849999999,Entire home/apt,168,3,43,2024-12-15,4.03,13,346,43,
1078029412135091339,Prestigious Rm 8Mins to EWR Airport,233993078,Lesley,,South,40.71909,-74.21051,Private room,89,1,4,2024-07-05,0.36,11,242,4,
1079055883698788041,City Getaway,543967581,City,,East,40.73231,-74.17346,Entire home/apt,88,3,13,2024-12-04,1.28,1,83,13,
1079134090756796347,Cozy &comfortable room in Newark,556723332,Maria,,South,40.72374,-74.20771,Private room,43,2,8,2024-12-08,1.17,8,86,8,
1079148944711361358,Room 2,428013215,Wilson,,Central,40.7486,-74.18269,Private room,55,2,9,2024-11-18,1.26,3,266,9,
1079156770187881747,Room 1,428013215,Wilson,,Central,40.74707,-74.18107,Private room,59,2,16,2024-12-09,1.49,3,268,16,
1079158509655537118,Spacious Master Bedroom,428013215,Wilson,,Central,40.74674,-74.18112,Private room,65,1,0,,,3,254,0,
1082703866731257616,Serene Rm 8Mins to EWR Airport,233993078,Lesley,,South,40.71986,-74.21007,Private room,89,2,1,2024-02-14,0.09,11,268,1,
1083577475118587482,Comfy Room 8Mins to EWR Airport,233993078,Lesley,,South,40.71863,-74.20928,Private room,89,1,4,2024-03-23,0.38,11,269,4,
1084113966359538917,"BFL Rm ""A"" One Private BedRoom & Private Bathroom",556193025,Eunice,,West,40.7447441,-74.2281328,Private room,81,1,6,2024-12-08,0.80,1,180,6,
1084339601668454094,"Studio P ~ 10 mins from EWR ~ Newark, NJ",268355905,Sarah,,South,40.71467,-74.20172,Entire home/apt,81,4,23,2024-12-19,2.12,1,268,23,
1084970831524814081,Cozy & Quiet 1A - Studio Unit - Lower Ground Flr,460437346,Alain,,South,40.71563,-74.21092,Private room,52,30,0,,,4,318,0,
1085018564034825327,Cozy & Quiet 1-B - Studio Unit-Lower Ground Flr,460437346,Alain,,South,40.71516,-74.21092,Private room,,30,0,,,4,286,0,
1085402815631506650,Native,540735044,Hernan Patricio,,East,40.73034,-74.15481,Private room,61,1,52,2024-11-24,4.84,3,29,52,
1085588330230854473,Win with A Twin Near AirPort Hospitals & Colleges,547769072,Resident Center,,South,40.71053,-74.2102,Shared room,33,1,11,2024-09-28,1.14,11,269,11,
1085720809392316156,Airport Studio: NY/NJ Charm,439583593,Maite,,East,40.7278948,-74.15507649999999,Entire home/apt,130,1,53,2024-12-27,4.89,11,178,53,
1085722926139486693,Modern Suite 8Min EWR Airport,233993078,Lesley,,South,40.72041,-74.21064,Private room,99,2,3,2024-06-29,0.28,11,242,3,
1086295786841988828,NYC Close: New Jersey's Gem Apartment!,535805212,Shermaine,,South,40.7103026,-74.2098163,Entire home/apt,66,1,24,2024-12-15,2.28,1,61,24,
1086408808920710228,Chic 2BR Apt + Parking! Near NYC Attractions!,238085412,Debora,,North,40.75933,-74.17736,Entire home/apt,96,1,24,2024-11-13,2.48,3,48,24,
1086560629788652521,The Origin concept 001,477207100,Kenechukwu,,South,40.7201372,-74.1962185,Private room,55,1,22,2024-12-14,2.04,2,263,22,
1087056650995315840,Stylish Room “8Mins to EWR Airport,233993078,Lesley,,South,40.72003,-74.20878,Private room,79,2,5,2024-09-25,0.52,11,269,5,
1087874011407761438,Modern Apartment Location near in Times Square NYC,238085412,Debora,,Central,40.7282,-74.18191,Entire home/apt,94,1,25,2024-12-23,2.53,3,25,25,
1089280670543122377,Private Room in Newark,556723332,Maria,,South,40.72308,-74.20902,Private room,,2,6,2024-11-09,1.08,8,0,6,
1089828551715566172,MHS Private 1Bedroom &Private1 Bathroom,554727805,Obianuju Esther,,Central,40.73884,-74.20101,Entire home/apt,200,1,30,2024-12-30,2.87,1,365,30,
1089851748239056146,Bedroom 1 @ New Lux,467277515,Adegbola,,West,40.74258,-74.22966,Private room,80,1,1,2024-06-30,0.16,2,84,1,
1090003739716853629,The Origin concept,477207100,Kenechukwu,,South,40.7201372,-74.1962185,Private room,50,1,37,2024-12-28,3.58,2,234,37,
1090188051045598982,Newark Oasis: 10 Min from EWR Airport,425662275,Steven,,South,40.72438,-74.21028,Entire home/apt,122,1,10,2024-12-08,1.02,1,30,10,
1090910766182447603,Little Brazil | Cozy 2BR Apt. | 30 mins from NYC,87370204,Reynor,,East,40.7271,-74.15817,Entire home/apt,200,1,24,2024-12-15,3.19,1,359,24,
1090974912547182857,New 6 Bdrm 4 Bthrm by Airport NJPAC American Dream,84941698,Jorge,,North,40.7663,-74.16108,Entire home/apt,480,1,14,2024-12-08,1.39,12,226,14,
1091091819627554899,LuxBay Place 1BD/5 Min to Rutgers Newark/Pkg Incl,338687664,Shaun,,Central,40.74994731802104,-74.16888624429703,Entire home/apt,159,1,64,2024-12-22,6.81,13,353,64,
1091994435574184055,Room near Newark airport,88327797,Kevin,,South,40.70497,-74.21262,Private room,,2,5,2024-10-23,0.49,15,267,5,
1092083199658163095,Urban Haven 2 bedroom apartment,92856476,Debbie,,West,40.75703,-74.19469,Entire home/apt,179,2,0,,,24,268,0,
1092084215071294585,Exclusive 2 Large Kings bedroom,92856476,Debbie,,Central,40.7475,-74.18934,Entire home/apt,207,2,1,2024-03-03,0.10,24,270,1,
1093849164500568385,Clean Luxury Apt | Central | Everything You Need!,265925605,Ed,,East,40.73091,-74.13454,Entire home/apt,300,2,22,2024-12-24,2.28,4,363,22,
1094210023063647091,"Ask for 20% OFF, Sleeps 8, By EWR+Free st Parking.",139582991,Prince,,North,40.78311,-74.1718,Entire home/apt,183,1,27,2024-12-28,3.10,1,353,27,
1094951017869374086,Nice Newly Built 4 Room Apartmen,562888404,Rafael,,South,40.7102225,-74.21043499999999,Entire home/apt,236,1,21,2024-12-29,2.26,3,153,21,
1095320327221593115,"Centric Loft-6Min to EWR-25Min NYC
3 Beds-Sleeps 7",532780385,Amneris,,Central,40.7261543,-74.1752085,Entire home/apt,218,1,19,2024-12-19,2.38,1,0,19,
1096363294548618640,Neat Apartment in North Newark near NYC + Metlife,544267310,Aida,,North,40.77754059999999,-74.1658398,Entire home/apt,110,1,100,2024-12-23,9.80,1,276,100,
1096693757275744667,Chic Studio Space,57536401,Audrey,,East,40.73542,-74.17019,Entire home/apt,160,2,4,2024-09-16,0.51,1,178,4,
1097140985939859404,Central Newark Apartment: 1 Mi to Downtown!,121680792,Evolve,,East,40.72928,-74.1584,Entire home/apt,111,2,20,2024-12-08,2.22,12,339,20,
1097735947690756848,Back Yard Oasis With Event Space,68679818,Will,,North,40.7833,-74.16454,Entire home/apt,699,1,0,,,2,269,0,
1098491052552176542,Amazing and Comfy Getaway Room,212693162,Kingsley,,West,40.742515,-74.2205283,Private room,88,5,10,2024-10-13,1.01,37,266,10,
1098562116649651487,Cityscape,281041246,Mary,,South,40.7124309,-74.20190529999999,Entire home/apt,370,1,14,2024-12-22,1.68,2,263,14,
1099173262612151276,Cozy & Quiet - Lovely 2 BRM Unit - Lower Ground Fl,460437346,Alain,,South,40.71502,-74.20939,Entire home/apt,97,30,0,,,4,284,0,
1099625907349850265,35 min to NYC & 7 min to Newark Airport,393834843,Shon,,West,40.74061,-74.20953,Entire home/apt,320,2,4,2024-12-26,0.98,1,269,4,
1099732282117920068,Queen Bed!FastWifi!TravelNurses!EWR/LGA/NYC,326249843,C&W Capital,,North,40.76717,-74.16163,Private room,89,2,36,2024-12-26,3.58,6,11,36,
