id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
39833359,Queens,Astoria,40.7633876,-73.90972579999999,Entire home/apt,189.0
39839813,Brooklyn,Williamsburg,40.70864,-73.96613,Entire home/apt,215.0
39849765,Manhattan,Upper East Side,40.76074,-73.95962,Entire home/apt,124.0
40301903,Manhattan,Upper East Side,40.77477,-73.95365,Entire home/apt,89.0
40304242,Brooklyn,Flatlands,40.6312,-73.92639,Entire home/apt,101.0
40376349,Brooklyn,Williamsburg,40.71843,-73.96069,Entire home/apt,199.0
40400671,Queens,Astoria,40.7708,-73.92028,Entire home/apt,110.0
40447283,Brooklyn,Bushwick,40.70139,-73.93085,Entire home/apt,200.0
40511239,Brooklyn,Williamsburg,40.7141,-73.95104,Entire home/apt,225.0
40739293,Manhattan,Upper East Side,40.75962,-73.95957,Entire home/apt,151.0
40887882,Manhattan,Upper East Side,40.7836,-73.95221,Entire home/apt,104.0
41108306,Brooklyn,Bushwick,40.70732,-73.92137,Entire home/apt,122.0
40917921,Brooklyn,Williamsburg,40.71985,-73.96056,Entire home/apt,125.0
40946694,Manhattan,Upper East Side,40.77077102661133,-73.95748138427734,Entire home/apt,162.0
40952752,Brooklyn,Williamsburg,40.70852,-73.96133,Entire home/apt,300.0
41008859,Brooklyn,Williamsburg,40.71359,-73.95289,Entire home/apt,115.0
41012815,Brooklyn,Bushwick,40.69025,-73.91424,Entire home/apt,173.0
41322723,Brooklyn,Williamsburg,40.71135,-73.94946,Entire home/apt,180.0
41749993,Brooklyn,Williamsburg,40.71801,-73.95482,Entire home/apt,160.0
41770339,Brooklyn,Williamsburg,40.70811,-73.94474,Entire home/apt,160.0
41789758,Manhattan,Upper East Side,40.78311,-73.94711,Entire home/apt,82.0
41469310,Brooklyn,Williamsburg,40.71325,-73.95488,Entire home/apt,679.0
41496552,Brooklyn,Bushwick,40.68605,-73.91533,Entire home/apt,225.0
41567947,Brooklyn,Bushwick,40.70541,-73.92392,Entire home/apt,100.0
41585180,Manhattan,Upper East Side,40.77077102661133,-73.95748138427734,Entire home/apt,271.0
41867299,Manhattan,Upper East Side,40.78141,-73.94656,Entire home/apt,107.0
41895103,Manhattan,Upper East Side,40.78117,-73.94656,Entire home/apt,94.0
42274209,Manhattan,Upper East Side,40.7749,-73.95336,Entire home/apt,83.0
42289549,Brooklyn,Bushwick,40.6985,-73.92798,Entire home/apt,135.0
41665066,Brooklyn,Williamsburg,40.71783,-73.94463,Entire home/apt,350.0
42082740,Manhattan,Upper East Side,40.78569,-73.95084,Entire home/apt,240.0
42207141,Brooklyn,Bushwick,40.69745,-73.92809,Entire home/apt,199.0
42389365,Brooklyn,Williamsburg,40.70876,-73.96418,Entire home/apt,110.0
42405152,Brooklyn,Williamsburg,40.71,-73.95939,Entire home/apt,85.0
42406076,Brooklyn,Williamsburg,40.70806,-73.96099,Entire home/apt,110.0
42444354,Manhattan,Upper East Side,40.78559,-73.95286,Entire home/apt,94.0
42449656,Brooklyn,Bushwick,40.699,-73.92639,Entire home/apt,135.0
42451008,Manhattan,Upper East Side,40.77415,-73.95534,Entire home/apt,107.0
42473749,Brooklyn,Bushwick,40.6954,-73.91298,Entire home/apt,101.0
42735065,Manhattan,Upper East Side,40.78411,-73.9486,Entire home/apt,83.0
42735424,Manhattan,Upper East Side,40.78384,-73.94855,Entire home/apt,84.0
42735863,Manhattan,Upper East Side,40.78411,-73.94864,Entire home/apt,94.0
42745382,Brooklyn,Bushwick,40.700187071844006,-73.93646919892383,Entire home/apt,200.0
