RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,1194.8287799754398,1201.3559244362134,1210.2997869720464,1219.294368381091,1228.514641167519,1236.3780894355907,1242.288062161144,1245.8847645422866,1247.9366812639564,1248.4169654548402,1248.9135691523725,1249.329758175501,1252.4949885993128,1257.4819072517696,1263.819341396033,1271.6837316300755,1279.9035400508246,1288.120928491074,1292.9383440204597,1295.134931607319,1295.0638424740441,1293.5776879412047,1292.437024801008,1291.604111649545,1296.2905169959784,1303.9861058718081,1315.651413600644,1325.4375079800438,1334.764597110564,1341.9299715256373,1346.828330302864,1348.5049406779094,1348.8031013154875,1347.3266357953767,1347.1659547830482,1348.0873918683667,1352.857970746374,1360.3450585024939,1369.9426281439116,1379.6490169148472,1387.8994003340126,1395.4799155514684,1400.9271316133259,1404.263629685329,1403.7080555788746,1402.9437777117375,1403.5262605998435,1405.623058008657,1409.929375190213,1416.077629903235,1426.3757523335807,1436.5205401323299,1446.4630740339783,1454.5383768966813,1460.4623921761124,1463.5767246348994,1463.4606424758533,1462.1000678216421,1461.0760083539308,1462.2579234611035,1467.357362535792,1475.5165585062891,1483.8054439780988,1484.5092509262954,1483.5468937751236,1483.8530435576288,1489.0578587866319,1490.4270892699867,1487.8676351527274,1484.9662240382265,1483.67423464608,1485.8671597290581,1492.9698892460544,1504.5048727480992,1519.847398371842,1539.4714873445919,1565.362415875038,1595.6376096903746,1627.5065228478363,1657.071537541654,1680.9776751203228,1696.0100208541558,1705.8656112183078,1715.4852297066266,1726.3325085604006,1741.7822106663416,1757.7784298829515,1778.6422013096442,1799.846695514465,1822.1719735555023,1840.7404628903942,1851.3239757666527,1853.9392660153912,1849.5198266555021,1843.5413024116194,1840.523422909424,1842.5135018334558,1849.4007746108907,1861.9387846883199,1873.3051342894419,1885.9536539892451,1894.1155063703186,1903.5873158986371,1908.8320359375398,1910.1991346499317,1906.9713673905756,1901.784264343602,1898.809819945532,1902.2375473186064,1911.3874532593666,1924.001755399015,1936.855419913829,1949.4150815418288,1960.2484893500753,1968.6915535790954,1972.6973859186198,1973.722919913241,1969.9778305048799,1966.8494023382505,1963.4257394250108,1968.0404501325165
394913,1,"New York, NY",msa,NY,2228.858184444541,2243.2560758200475,2261.2939500031166,2281.1722065958133,2296.311327898019,2311.7667066488107,2321.8416964616117,2331.330047864667,2335.4454110311926,2333.5911284899603,2325.0013249142376,2316.0307813775903,2312.8370822701127,2317.192965034277,2324.9559229544125,2337.267821150245,2351.2174953474937,2365.8669744151216,2378.322215597186,2382.175817886053,2382.8146836860005,2375.3683057106814,2370.6778641702285,2359.06449426813,2355.7620461921965,2356.40017770023,2368.011817925571,2382.2881856208382,2399.955464399521,2414.8494823465953,2425.327832371556,2428.0040099455114,2425.9589776138923,2412.4044120959074,2396.838892448388,2383.5825358873562,2381.8715046545612,2388.904551663253,2401.5939221483773,2421.2931935251545,2439.091398336337,2456.3480991021565,2468.296500300207,2477.4872519675278,2477.9420046650657,2468.669894295063,2458.111684289233,2447.86724188864,2447.8801542548995,2456.093079582925,2471.5684506669168,2488.530349904406,2508.809149987456,2530.2078918977136,2545.6289464409565,2552.6231187615754,2550.818899544445,2546.0639165155894,2534.1861326894195,2526.8715732896057,2526.1416537067203,2539.022950373728,2547.9622490770525,2542.0595663077725,2525.6269677648843,2503.285189198282,2478.9274426947295,,,2339.6928840336127,2308.3729473078224,2295.969992426317,2293.861090262152,2307.771784311854,2328.968062114509,2357.057393157639,2400.4799848372886,2454.2062496886942,2515.7667477455047,2574.4905886323118,2621.5473202397066,2654.2240475218628,2675.3074235442914,2695.6773736550144,2719.0534937437915,2751.171292048781,2788.5945525949587,2829.354923278962,2880.054889691553,2933.0053624568764,2981.1519186325395,3008.20607726767,3011.6708564804812,2995.600494729036,2969.7710483154806,2949.5494095683543,2946.8696271099193,2959.548481947662,2986.5409615005437,3018.5405456160465,3053.701892199116,3084.2685133351074,3107.1888251254927,3117.0858006100207,3115.7979168901775,3100.4881511008034,3078.0354288743224,3062.1728294487466,3066.051461706712,3084.646955558782,3115.067842350184,3143.2457277582535,3175.050336533694,3202.8627298059305,3220.049879349635,3225.48366015598,3214.812954570926,3200.361086547125,3188.99117262781,3183.0693292610854,3193.1546051979276
753899,2,"Los Angeles, CA",msa,CA,1810.7504493380738,1823.1794794266548,1839.3231913647878,1853.2262788671899,1867.8249386999921,1879.272849335965,1892.79705310485,1903.3275790374066,1913.300524011401,1918.7266818763794,1923.2240921972357,1929.374957230941,1938.666429512022,1950.9269832256332,1963.2358983614786,1973.442970140856,1986.661557130959,1999.2516177075404,2012.2859017553135,2018.5666804537022,2023.709924989665,2024.820411542753,2027.3793267306216,2030.3298727134772,2044.5981562197826,2061.073107748125,2082.4199707434254,2096.302294561092,2109.6103219726615,2118.735656582893,2128.447124088642,2133.7604064903994,2138.934810555483,2140.5688583959627,2146.0891056341748,2150.458234708929,2161.4740816454128,2172.9942242454586,2184.7831614349543,2194.3167014807395,2201.954040453933,2213.472354487738,2223.548699799169,2233.054569209267,2237.0522928266555,2240.9625715401144,2246.551044437019,2252.3382417552,2258.0399381805046,2261.9977281547626,2273.7857096355738,2284.084856993974,2296.7646338892555,2305.701651955511,2314.364484199979,2320.798437091574,2324.462927741947,2327.189119547934,2330.2916884684855,2333.9194207848946,2340.7965387040103,2345.2737413873197,2345.1667726627556,2332.5589047493445,2320.87689405997,2314.48911150955,2316.453636781174,2316.6328600319357,2315.994636831462,2316.8467923448693,2318.5649189501223,2318.781093592857,2326.8486916169686,2336.5101376222015,2351.0959704417933,2363.0531797225585,2383.769123079462,2418.5260758825434,2465.9481296758718,2520.34624896771,2562.2265013587335,2588.431504365705,2603.1617801186994,2620.9604066556126,2640.5701532880175,2666.7835871661096,2692.0801325134944,2722.429222430195,2748.0372391331457,2772.325654313387,2792.9294646413405,2808.0399024786852,2814.13112930342,2808.8981649429643,2800.8636060104463,2793.288359606371,2792.9337057968623,2799.099461840817,2813.433840667825,2825.4425245057505,2835.4007758204907,2843.6557962026245,2856.067376141061,2867.453491383908,2870.0021204203263,2866.959218164511,2854.503878121584,2847.4808447374808,2852.0129711959626,2865.000079473143,2882.554545975486,2893.913104522292,2909.250599898391,2922.938792257766,2936.581964822379,2941.988967921432,2945.9160465150962,2942.9139488015053,2939.479067775426,2931.8938490933974,2954.053863468627
394463,3,"Chicago, IL",msa,IL,1376.646711149948,1383.4125095455763,1392.867869882433,1401.927409872944,1411.9567954260037,1421.458084279291,1425.9513470228796,1428.519744757619,1423.578795174415,1416.611701710322,1410.47893817137,1410.818545547301,1418.5379052506228,1427.4246759855992,1438.5292323972747,1445.9754314023849,1453.948781826173,1461.731751830942,1467.8272389649865,1471.3557099243542,1464.5608642671257,1454.8620007708082,1443.366919980645,1437.9733831173216,1444.0863832952887,1457.8008463604758,1476.0165940121226,1489.378779411384,1500.7591809581781,1506.384853337861,1508.1563630334808,1503.507170629283,1497.7311559750665,1486.8883629772213,1480.275990599405,1477.7208400531347,1485.864623783806,1497.2246939343136,1510.3068062871407,1521.4007536025106,1531.2654922467782,1539.7097741179828,1544.0466781169446,1542.0552483975732,1532.395397111305,1521.4240385418937,1514.357490639712,1515.1679227519276,1524.103551615729,1534.2860212442347,1549.392787483481,1561.7145258378976,1573.7053542209526,1580.4496276971797,1583.5537327820666,1582.9564758403355,1578.0962334404776,1571.667690945645,1565.0131897820688,1560.6610809149772,1569.0299070495535,1580.680934523033,1595.136502251971,1596.2479091972405,1595.0684588172592,1592.1269922791325,1591.2016923336041,1585.6928486207296,1571.5831281121089,1550.8045451788198,1533.4348587158477,1525.816975692055,1527.920861906851,1538.8719614756035,1555.6044768188417,1581.0973674338932,1607.5501396486889,1632.7276762892625,1651.8670344139339,1664.9361308463672,1672.5043525731814,1672.247099864484,1672.255680469906,1677.0569686684346,1690.0564490704387,1705.4281101143663,1725.1452963621289,1748.4198044472066,1774.3010301889103,1794.6965839956645,1811.0724233413941,1818.652167841708,1819.5852340857396,1815.4592703579688,1809.9970875943536,1810.2102730338615,1817.029429058987,1831.5980388988453,1849.8747381792891,1868.4244791171375,1889.1688666858406,1907.5602059091082,1919.9375731731666,1926.3336440553624,1922.8585195316475,1914.6891729281149,1906.124889704256,1908.2169022852797,1917.3272784114858,1932.8489140458048,1947.891114721642,1969.1507777933227,1987.6541954364657,2005.0563854898148,2013.959385340248,2017.2925800460648,2015.5942318792324,2013.9219013628137,2015.0066225724688,2018.8138098423108,2026.3096676616758
394514,4,"Dallas, TX",msa,TX,1085.1938310283028,1090.119291485406,1098.0059814148808,1109.8461139140145,1119.6046326383278,1127.8828703512845,1134.199288498984,1137.8818232795384,1139.2566059044034,1139.179273121919,1139.992616485729,1141.6937829606964,1143.3608225598225,1148.9057248920253,1156.549651958121,1167.4441204735149,1175.9229871397035,1183.7139686833648,1188.5860847464985,1192.0692552982653,1192.63572720008,1193.0234391808506,1192.93944980408,1193.3622810688303,1198.1496195028078,1204.1199911128626,1216.6958437691035,1226.2103456793882,1238.4795235580132,1244.7497728962464,1249.5949760644744,1250.9728957840584,1249.8745637587326,1247.7544609756503,1249.1631105206004,1250.108251288795,1254.7766545963477,1260.5393786822776,1267.6440712874921,1275.1975637894636,1280.1824785412775,1288.3575101976319,1292.272692612868,1294.3343960030447,1291.6408412099795,1293.5036094857437,1294.3934115176587,1296.9168322297198,1299.3157610136257,1303.911650972713,1315.182178357888,1324.6995887079938,1333.7671972393973,1340.461667721894,1343.7468780655624,1345.924422892439,1344.7864031838162,1343.9007362754935,1341.8102183684364,1338.2366264758125,1340.6376980635646,1346.5052939132459,1355.109820842411,1355.6420442146425,1355.0998247949303,1355.99801179974,1360.4909986393318,1364.3943960372085,1366.5554828387453,1369.3247715669502,1370.8316196123524,1374.038294224436,1379.8555479209838,1390.2843765311577,1401.7995620077618,1420.5040878988734,1445.0897998859728,1478.6167067796007,1513.1585542713497,1544.9427284833855,1568.2598019216373,1582.419816023766,1594.543633371841,1604.3821234497777,1615.8751660034195,1627.3743518072188,1640.5469505967556,1659.8141596133853,1682.387858638634,1711.452338973718,1732.4381618579387,1740.3009401919628,1735.2226210066758,1721.6436042978223,1711.4832450985764,1702.8794501069797,1702.900108552886,1705.6484478018115,1717.38466230531,1721.9125975600227,1730.1049377807806,1733.5057621962324,1741.7728010348656,1742.9226581238354,1738.1409489799917,1730.089049532394,1722.5919713152275,1714.6083585747542,1711.455769077677,1710.1950018358093,1716.2280545834417,1722.291676753913,1731.0878032738854,1737.463226309315,1743.5715967275876,1746.1036346022995,1742.609854203505,1735.4277685170355,1727.2687161004349,1720.5687473654361,1719.0941421746538
394692,5,"Houston, TX",msa,TX,1215.8478754176033,1219.5911262429422,1226.4038035839733,1236.392563636831,1245.8405499632797,1253.9987300695611,1256.1138499472477,1257.5036101605622,1255.041172262442,1251.5347508442915,1247.5900727265202,1244.7635781081278,1245.6169969672308,1248.089229954477,1254.283392455398,1258.497309307941,1261.3610447305405,1262.2458854055021,1261.935615173716,1259.346438679228,1254.0921575913633,1250.327605308062,1245.1639105841214,1242.885983630409,1243.6623047251246,1251.5763408971532,1259.8795941244157,1264.9419202077904,1272.1966760214782,1274.019517767227,1274.6621140819518,1269.7103135071245,1276.7117738425313,1284.654708607769,1295.6597610745296,1300.9644465060767,1304.3736722217877,1309.8516313538971,1311.492561163516,1318.2749039516643,1321.0520818887728,1326.4114741095425,1326.397315946257,1324.925937479308,1321.0267645632512,1321.496475609937,1323.7374295095929,1323.8017396791588,1324.5562702055724,1323.4810329319641,1330.4697815738746,1335.48093482486,1344.4261085881456,1350.2841004663746,1353.942635138982,1353.198409291986,1350.1774679035527,1349.3902391196295,1349.3116995371201,1352.4894974598574,1355.2308841476238,1361.7511773199922,1367.0521750471553,1364.4144521668322,1357.5100603429833,1352.4374247455137,1356.3783984687254,1361.523197231093,1362.1817643851116,1364.5615938200037,1366.2769393045025,1367.3511843816486,1369.188379550478,1370.2105805021224,1378.232693244816,1390.9409781078145,1412.4169778277962,1440.0300326021056,1465.5295269799667,1489.2200888998452,1502.578592828329,1510.139981064055,1514.1223315769741,1518.5054499318512,1525.2924057738517,1535.380588484001,1545.796108282007,1558.9910397561446,1570.9352464931073,1586.4180217090243,1598.351904970467,1604.730229388167,1602.3194271120924,1596.5217208641006,1590.041029407671,1588.2095716352314,1591.9159791813352,1599.8181820418151,1611.9897755817944,1618.470128266669,1628.520100404178,1635.8747468113947,1642.5300593351462,1643.3778220234985,1638.654394131835,1632.6053542419118,1626.5935655889716,1624.7976457807188,1628.5761213650217,1635.3241734495728,1641.4240904620492,1650.4331535632803,1660.5472055844718,1670.8941137122354,1676.1729056435352,1678.4332522598147,1679.0023886136894,1677.3857397193322,1672.6122387330654,1667.911064472719,1666.6481929370548
395209,6,"Washington, DC",msa,VA,1695.4068019126894,1701.736613934823,1713.3086750631112,1721.8297489183133,1731.390895181927,1738.3443435403224,1742.588199887226,1740.0448338206618,1739.5266057634785,1734.509704101372,1734.2395585645963,1729.550872035285,1733.3390108365145,1736.458795068612,1744.6379492696867,1751.982614230212,1761.3104930446411,1767.9630622149696,1772.0575388831053,1772.8317270398766,1769.359194962708,1763.770414414744,1758.5532172304577,1755.7240552779233,1760.9901252275183,1772.2086446057451,1785.6669679413521,1796.4370775590046,1802.9200301799083,1810.2496004971488,1813.4637443054373,1813.0849740726646,1810.5427377622268,1805.6211524325477,1799.8639467853814,1796.054436813949,1798.6116609357443,1805.4853110989573,1817.7364616462364,1829.566519271107,1840.7858230019021,1849.4203301875607,1855.1292625411015,1859.5084976606518,1854.67311338898,1852.2270061191432,1852.7660746009321,1857.7302054287516,1861.8141177003617,1867.502813610995,1876.750146508615,1888.13157698261,1899.3113141594963,1908.760571534491,1914.0235148983063,1915.2921957854155,1914.8758527238188,1908.948990035898,1902.9536168327957,1903.3108321024752,1911.9815961170013,1921.0836037058748,1930.6991971116522,1929.7974689614853,1927.3877300709842,1920.8330337361995,1919.15788796025,1914.7783030368948,1901.1653611549586,1883.9020904846398,1863.9116828107856,1853.219221087426,1854.9675872263904,1863.3800190384015,1873.9094764067358,1888.6450280669546,1916.2869741524985,1953.8761912292434,1991.7492009324908,2022.6163022157941,2041.4578665781517,2051.1610293478157,2051.8463152459185,2052.265432128959,2054.11818826269,2065.6161598458416,2083.9521527269235,2107.5292127324997,2132.8786145783292,2158.3103436513875,2182.6538156290794,2194.337981108988,2194.5265801531355,2178.3081278251234,2161.394507703069,2148.848609675345,2150.8470603131314,2163.567417368537,2186.565171796064,2203.0175750438298,2220.7917438139043,2232.3413113254355,2248.5949748444727,2258.4929493134464,2261.5360967918523,2257.571719949603,2249.8783753963003,2242.343890398817,2246.9891900184225,2262.760048700742,2286.3737462363733,2306.7469706449106,2325.6088807877272,2345.0048729356818,2360.9842952023687,2368.668541473968,2367.9275117257616,2357.690857110297,2350.7305617659267,2343.337273776611,2354.768900983117
394974,7,"Philadelphia, PA",msa,PA,1221.6616716841381,1228.3444648003285,1241.0000383024699,1247.790342459732,1253.7019470021737,1256.5903937260907,1258.8090486296846,1259.5292712161356,1259.3080796961767,1258.606576022003,1254.7196423316511,1250.8451804638676,1251.8848743642995,1260.3430253814167,1270.2351911266321,1279.168019721711,1285.345094922627,1292.273452980427,1293.3128745719769,1293.0448040402212,1289.9312524183308,1288.2454194697646,1290.3016842069399,1290.3599651481773,1295.1091383085457,1300.8553329006302,1312.5878844110327,1321.2334748697426,1327.257883580121,1328.4972574596716,1328.708155624102,1328.5892170881773,1328.0370787858851,1327.4313238407979,1326.385021875298,1329.3002846424931,1332.8875243537484,1340.6994614392868,1351.2226757343858,1361.2689338573314,1370.0994042718223,1373.9100125513403,1374.6833092357097,1373.5671535829642,1371.8728047139818,1373.634421594679,1377.1698340084909,1377.849438249772,1382.4177087556836,1389.2695066742313,1403.2123813205046,1414.0731590560426,1421.1182333878103,1428.215047033611,1431.4736310236788,1431.3648042197972,1427.6066427262733,1426.7556791168931,1426.963960437216,1430.3779583811393,1433.8586955852616,1445.0774446207647,1455.091781781428,1459.4572181804056,1459.521400209205,1460.3169933544473,1465.976415654702,1466.252139287845,1465.403710228477,1464.434506331685,1465.9673847422341,1469.5934056879003,1474.3603865787918,1481.33678245894,1489.6328220782984,1505.0294438761741,1526.766657773808,1548.2873433147654,1567.9436331656145,1585.046231792721,1593.9056207456654,1603.4574286997752,1611.528873904943,1628.7739114365036,1638.8063401928819,1650.553587052453,1660.571664754205,1674.845714890583,1689.0779773360034,1704.39166151174,1717.719665178699,1724.4691945153627,1725.1696294442422,1720.6734537067862,1718.3946047464797,1715.2696807279194,1718.9899563156296,1721.4040149347597,1732.938383355734,1741.858837444821,1753.5273992446166,1758.467877672638,1766.963849620343,1773.3694369815714,1782.203903065341,1785.2064820033063,1786.1006245135325,1783.2867376483298,1784.5970017305783,1792.1085628304038,1801.9056208502725,1811.0979985728302,1818.9135429230082,1828.0029316705895,1837.0440673399828,1844.679825091296,1849.6428230337779,1853.6730165278823,1855.7241492516428,1860.1123816645202,1864.6263362247182
394856,8,"Miami, FL",msa,FL,1470.3557647446805,1476.5250853434527,1481.4916768720364,1488.1751276551395,1496.7428772489386,1505.7409701396425,1514.922271531633,1522.2572296911922,1533.3589188226042,1541.0287882759249,1550.5416320197157,1553.553131285297,1557.3472980802526,1558.8605835239387,1561.9768722506033,1562.894214482367,1562.4187667487822,1561.8825439237546,1564.259591468129,1567.0660065656127,1572.4580463081263,1575.3232749248018,1579.4077644700722,1579.1809765476967,1583.9189201794813,1587.2627272840919,1594.8362808723325,1597.4381331412483,1599.8438815502168,1602.5469856684413,1607.8612862305918,1615.219710399575,1622.2621023778665,1627.5602660698353,1629.1348917318633,1629.742261770067,1631.8762179501548,1634.9491589757613,1639.0594058197505,1642.9916712441657,1647.3565296482282,1652.4497104691213,1658.4310379227795,1665.0103738674663,1669.9598069706567,1676.623702045717,1683.373425114645,1688.755379268137,1688.3375922924981,1686.9224279223038,1688.0370777240505,1691.6873522572325,1696.5811943943677,1700.901511215277,1706.0271393259998,1711.001759447364,1717.1978299367101,1725.8522202554298,1735.3289098219198,1742.3913485624485,1744.7525879065129,1748.3187453506628,1748.4316752766913,1742.338689771169,1732.741393109939,1731.6191911605822,1737.2099011266314,1742.7942051355685,1748.3966067873891,1761.615852375436,1779.9788346753069,1795.8812820819817,1810.8816599115864,1833.568224332777,1861.887344972394,1895.8034089392245,1935.0821668003514,,,2115.8152412563454,2174.620810953972,2218.751439531986,2263.476234197786,2309.911694116525,2352.4345263574724,2386.5228229026297,2423.526416911864,2464.0108747208988,2502.922510136487,2530.03516862732,2550.119948151739,2559.0493345667514,2567.0530301258445,2569.8470723133014,2577.0446815270457,2581.3490045682383,2582.2083812298156,2584.2428680734442,2589.6819591845338,2597.047755540003,2604.8648009646204,2611.051150014474,2616.8138770680503,2621.7913349651653,2626.600596822117,2634.6580968084445,2639.1562104936834,2634.461360039327,2632.8401976382956,2639.1935282769523,2652.834303858776,2664.371813755291,2668.382722888348,2672.5619320543833,2678.2887153632555,2684.228124453452,2691.115200814041,2691.6626589894427,2693.2974331756827,2691.1171628769675,2693.6402946219537
394347,9,"Atlanta, GA",msa,GA,1027.5206567617777,1032.9801069362102,1036.1679775263601,1046.284251584535,1054.0804355648368,1065.723685201927,1072.0466827354096,1075.584587424638,1076.207631165658,1076.823672340462,1077.665731618573,1081.1932051156102,1085.2361682314615,1092.5008829889655,1099.912529000989,1107.2758601171772,1115.9285578244517,1124.7745146533762,1133.612616843181,1137.7481361427783,1138.2883403608803,1138.4835453252642,1138.9003961372364,1140.8871944863567,1145.1581446189275,1153.3815600952237,1165.0260781488978,1177.0153503551226,1189.430828313373,1199.8825820770705,1208.6052506218984,1212.4939169275715,1214.9785474928035,1212.3715339403423,1214.1004397392473,1215.3430969026347,1222.5522020129865,1230.5212874998915,1241.951975697374,1254.1707747537482,1265.2054332800699,1273.9828816070856,1279.4721302108967,1282.4447156476494,1282.922292396427,1288.727693600419,1293.7682610350157,1298.9420207499388,1304.1611530228156,1312.0869624202514,1324.6093304637745,1335.4667747591686,1345.6596613565537,1354.4566545370435,1359.529447021689,1363.6463003982926,1365.7102614243508,1364.8958974905606,1362.5273668349653,1362.2741897590306,1367.4243899952655,1375.8234478669378,1384.2496640341524,1387.1947911084812,1390.705420548439,1398.0571335515247,1413.412234175863,1426.9959820518402,1436.4338850005659,1442.9874170881194,1448.7501791700654,1455.2327738015777,1467.2639061561733,1484.0543857093303,1503.366621945568,1526.282899359795,1555.1512342903327,1594.2474211108927,1637.127570398314,1680.4505322203383,1711.996660246484,1731.2103197360761,1738.4173058451893,1741.1899952385904,1744.2760910306347,1750.804545503252,1763.5220092354332,1777.639317214175,1796.9492615771283,1817.8439639244862,1841.7635778132892,1854.2859954762373,1856.859857197291,1846.901501203865,1836.4530684293077,1831.4619211993677,1829.5866921028828,1835.2696045255032,1846.176185268904,1854.7678378774654,1860.835140566557,1861.0302452318326,1865.6683255608552,1865.851824777509,1863.3321666852019,1852.5370465891408,1839.6290233160187,1830.6631679959119,1834.6469960430782,1846.8113232861435,1854.9019595388104,1862.0800184317627,1869.0834299957278,1877.6642226584775,1883.2894333183358,1881.9461689255972,1885.064448557608,1879.7690567108218,1874.687362323821,1866.726972081476,1870.8719945584526
